country,year,adult_pop,total_pop
AD,1978,21347,32735
AD,1979,22860,34306
AD,1980,24417,35782
AD,1981,25979,37169
AD,1982,27427,38764
AD,1983,28802,40565
AD,1984,30226,42273
AD,1985,31701,43825
AD,1986,33375,45734
AD,1987,34944,47653
AD,1988,36566,49416
AD,1989,37677,50620
AD,1990,39385,52597
AD,1991,42951,56667
AD,1992,46160,60200
AD,1993,49022,63272
AD,1994,50421,64612
AD,1995,50051,63912
AD,1996,50273,63984
AD,1997,51027,64700
AD,1998,51741,65382
AD,1999,52126,65710
AD,2000,52188,65685
AD,2001,52472,65852
AD,2002,53218,66506
AD,2003,55850,69486
AD,2004,59884,74325
AD,2005,62290,77421
AD,2006,64018,79585
AD,2007,65994,81877
AD,2008,67419,83495
AD,2009,67831,83888
AD,2010,64788,80706
AD,2011,61933,77783
AD,2012,61133,76834
AD,2013,59736,75194
AD,2014,58493,73737
AD,2015,57227,72174
AD,2016,57327,72181
AD,2017,58844,73763
AD,2018,60419,75162
AD,2019,61940,76474
AD,2020,62970,77380
AD,2021,64079,78364
AD,2022,65500,79705
AD,2023,66704,80856
AD,2024,67837,81938
AE,1800,12848,27243
AE,1801,12887,27325
AE,1802,12925,27407
AE,1803,12964,27489
AE,1804,13003,27571
AE,1805,13042,27654
AE,1806,13081,27737
AE,1807,13120,27820
AE,1808,13160,27904
AE,1809,13199,27987
AE,1810,13239,28071
AE,1811,13278,28156
AE,1812,13318,28240
AE,1813,13358,28325
AE,1814,13398,28410
AE,1815,13439,28495
AE,1816,13479,28581
AE,1817,13519,28666
AE,1818,13560,28752
AE,1819,13600,28839
AE,1820,13641,28925
AE,1821,13682,29012
AE,1822,13723,29099
AE,1823,13764,29186
AE,1824,13806,29274
AE,1825,13847,29362
AE,1826,13889,29450
AE,1827,13930,29538
AE,1828,13972,29627
AE,1829,14014,29715
AE,1830,14056,29805
AE,1831,14098,29894
AE,1832,14141,29984
AE,1833,14183,30074
AE,1834,14226,30164
AE,1835,14268,30254
AE,1836,14311,30345
AE,1837,14354,30436
AE,1838,14397,30527
AE,1839,14440,30619
AE,1840,14484,30711
AE,1841,14527,30803
AE,1842,14571,30895
AE,1843,14614,30988
AE,1844,14658,31081
AE,1845,14702,31174
AE,1846,14746,31268
AE,1847,14790,31362
AE,1848,14835,31456
AE,1849,14879,31550
AE,1850,14924,31645
AE,1851,14969,31740
AE,1852,15014,31835
AE,1853,15059,31930
AE,1854,15104,32026
AE,1855,15149,32122
AE,1856,15195,32219
AE,1857,15240,32315
AE,1858,15286,32412
AE,1859,15332,32510
AE,1860,15378,32607
AE,1861,15424,32705
AE,1862,15470,32803
AE,1863,15517,32901
AE,1864,15563,33000
AE,1865,15610,33099
AE,1866,15657,33198
AE,1867,15704,33298
AE,1868,15751,33398
AE,1869,15798,33498
AE,1870,15845,33599
AE,1871,15940,33800
AE,1872,16036,34003
AE,1873,16132,34207
AE,1874,16229,34412
AE,1875,16326,34619
AE,1876,16424,34826
AE,1877,16523,35035
AE,1878,16622,35246
AE,1879,16722,35457
AE,1880,16822,35670
AE,1881,16923,35884
AE,1882,17025,36099
AE,1883,17127,36316
AE,1884,17230,36534
AE,1885,17333,36753
AE,1886,17437,36973
AE,1887,17542,37195
AE,1888,17647,37418
AE,1889,17753,37643
AE,1890,17859,37869
AE,1891,17966,38096
AE,1892,18074,38324
AE,1893,18183,38554
AE,1894,18292,38786
AE,1895,18401,39018
AE,1896,18512,39253
AE,1897,18623,39488
AE,1898,18735,39725
AE,1899,18847,39963
AE,1900,18960,40203
AE,1901,19074,40444
AE,1902,19188,40687
AE,1903,19303,40931
AE,1904,19419,41177
AE,1905,19536,41424
AE,1906,19653,41672
AE,1907,19771,41922
AE,1908,19890,42174
AE,1909,20009,42427
AE,1910,20129,42682
AE,1911,20250,42938
AE,1912,20371,43195
AE,1913,20493,43454
AE,1914,20616,43715
AE,1915,20884,44283
AE,1916,21156,44859
AE,1917,21431,45442
AE,1918,21710,46033
AE,1919,21992,46631
AE,1920,22278,47238
AE,1921,22567,47852
AE,1922,22861,48474
AE,1923,23158,49104
AE,1924,23459,49742
AE,1925,23764,50389
AE,1926,24073,51044
AE,1927,24386,51708
AE,1928,24703,52380
AE,1929,25024,53061
AE,1930,25349,53751
AE,1931,25679,54449
AE,1932,26013,55157
AE,1933,26351,55874
AE,1934,26693,56601
AE,1935,27040,57336
AE,1936,27392,58082
AE,1937,27748,58837
AE,1938,28109,59602
AE,1939,28695,60844
AE,1940,29281,62087
AE,1941,29867,63329
AE,1942,30453,64572
AE,1943,31039,65814
AE,1944,31625,67057
AE,1945,32211,68299
AE,1946,32797,69542
AE,1947,33383,70784
AE,1948,33969,72027
AE,1949,34555,73269
AE,1950,35140,74512
AE,1951,36709,79540
AE,1952,38511,84761
AE,1953,40583,90147
AE,1954,42941,95653
AE,1955,45613,101258
AE,1956,48629,106963
AE,1957,52005,112784
AE,1958,55756,118762
AE,1959,59893,124937
AE,1960,64403,131334
AE,1961,69269,137989
AE,1962,74484,144946
AE,1963,80008,152211
AE,1964,85804,159692
AE,1965,91825,167103
AE,1966,97993,173976
AE,1967,104246,179700
AE,1968,116832,199416
AE,1969,139434,239660
AE,1970,167583,286536
AE,1971,199257,335027
AE,1972,234110,385014
AE,1973,271711,436399
AE,1974,311534,489087
AE,1975,352932,542856
AE,1976,402848,615866
AE,1977,463969,710209
AE,1978,531177,809274
AE,1979,603287,912010
AE,1980,677775,1015700
AE,1981,730703,1099855
AE,1982,763502,1166370
AE,1983,799570,1235305
AE,1984,838537,1305996
AE,1985,879735,1377911
AE,1986,923362,1467383
AE,1987,973299,1574244
AE,1988,1033052,1681788
AE,1989,1102619,1789851
AE,1990,1180976,1898220
AE,1991,1266243,2006626
AE,1992,1356369,2114730
AE,1993,1449630,2222093
AE,1994,1544563,2328188
AE,1995,1640453,2434662
AE,1996,1754603,2597564
AE,1997,1896905,2817410
AE,1998,2059699,3040421
AE,1999,2241918,3266009
AE,2000,2442042,3493575
AE,2001,2657592,3723590
AE,2002,2884416,3956826
AE,2003,3117570,4192457
AE,2004,3352736,4428967
AE,2005,3588500,4664790
AE,2006,3895983,5009100
AE,2007,4394408,5624635
AE,2008,4932949,6302664
AE,2009,5248803,6707058
AE,2010,5427980,6938363
AE,2011,5635978,7199423
AE,2012,5871198,7497118
AE,2013,6132499,7831847
AE,2014,6449748,8236874
AE,2015,6794582,8674633
AE,2016,7075478,9030873
AE,2017,7238602,9234327
AE,2018,7332074,9346870
AE,2019,7362472,9377847
AE,2020,7423091,9448524
AE,2021,7695835,9789048
AE,2022,8055574,10242086
AE,2023,8397340,10642081
AE,2024,8747775,11027129
AF,1800,1783832,3652457
AF,1801,1787400,3659762
AF,1802,1790975,3667081
AF,1803,1794557,3674416
AF,1804,1798146,3681764
AF,1805,1801742,3689128
AF,1806,1805345,3696506
AF,1807,1808956,3703899
AF,1808,1812574,3711307
AF,1809,1816199,3718730
AF,1810,1819832,3726167
AF,1811,1823471,3733619
AF,1812,1827118,3741087
AF,1813,1830772,3748569
AF,1814,1834434,3756066
AF,1815,1838103,3763578
AF,1816,1841779,3771105
AF,1817,1845463,3778647
AF,1818,1849153,3786205
AF,1819,1852852,3793777
AF,1820,1856557,3801365
AF,1821,1860271,3808967
AF,1822,1863991,3816585
AF,1823,1867719,3824219
AF,1824,1871455,3831867
AF,1825,1875197,3839531
AF,1826,1878948,3847210
AF,1827,1882706,3854904
AF,1828,1886471,3862614
AF,1829,1890244,3870339
AF,1830,1894025,3878080
AF,1831,1897813,3885836
AF,1832,1901608,3893608
AF,1833,1905412,3901395
AF,1834,1909222,3909198
AF,1835,1913041,3917016
AF,1836,1916867,3924850
AF,1837,1920701,3932700
AF,1838,1924542,3940565
AF,1839,1928391,3948446
AF,1840,1932248,3956343
AF,1841,1936112,3964256
AF,1842,1939985,3972185
AF,1843,1943865,3980129
AF,1844,1947752,3988089
AF,1845,1951648,3996065
AF,1846,1955551,4004057
AF,1847,1959462,4012066
AF,1848,1963381,4020090
AF,1849,1967308,4028130
AF,1850,1971242,4036186
AF,1851,1975185,4044259
AF,1852,1979135,4052347
AF,1853,1983094,4060452
AF,1854,1987060,4068573
AF,1855,1991034,4076710
AF,1856,1995016,4084863
AF,1857,1999006,4093033
AF,1858,2003004,4101219
AF,1859,2007010,4109421
AF,1860,2011024,4117640
AF,1861,2015046,4125876
AF,1862,2019076,4134127
AF,1863,2023114,4142396
AF,1864,2027161,4150680
AF,1865,2031215,4158982
AF,1866,2035277,4167300
AF,1867,2039348,4175634
AF,1868,2043427,4183986
AF,1869,2047513,4192354
AF,1870,2051608,4200738
AF,1871,2055712,4209140
AF,1872,2059823,4217558
AF,1873,2063943,4225993
AF,1874,2068071,4234445
AF,1875,2072207,4242914
AF,1876,2076351,4251400
AF,1877,2080504,4259903
AF,1878,2084665,4268422
AF,1879,2088834,4276959
AF,1880,2093012,4285513
AF,1881,2097198,4294084
AF,1882,2101392,4302672
AF,1883,2105595,4311278
AF,1884,2109806,4319900
AF,1885,2114026,4328540
AF,1886,2118254,4337197
AF,1887,2122490,4345872
AF,1888,2126735,4354563
AF,1889,2130989,4363272
AF,1890,2135251,4371999
AF,1891,2139521,4380743
AF,1892,2143800,4389504
AF,1893,2148088,4398283
AF,1894,2152384,4407080
AF,1895,2156689,4415894
AF,1896,2161002,4424726
AF,1897,2165324,4433575
AF,1898,2169655,4442443
AF,1899,2173994,4451327
AF,1900,2178342,4460230
AF,1901,2191598,4487371
AF,1902,2207063,4519036
AF,1903,2224737,4555225
AF,1904,2240202,4586890
AF,1905,2255667,4618555
AF,1906,2273341,4654743
AF,1907,2288806,4686408
AF,1908,2304271,4718073
AF,1909,2321945,4754261
AF,1910,2337410,4785926
AF,1911,2355084,4822115
AF,1912,2370549,4853780
AF,1913,2388223,4889968
AF,1914,2405897,4926157
AF,1915,2441246,4998534
AF,1916,2458920,5034722
AF,1917,2476594,5070911
AF,1918,2494268,5107099
AF,1919,2511942,5143288
AF,1920,2511942,5143288
AF,1921,2534035,5188523
AF,1922,2545081,5211141
AF,1923,2564965,5251853
AF,1924,2582639,5288042
AF,1925,2602523,5328754
AF,1926,2620197,5364942
AF,1927,2659964,5446366
AF,1928,2699731,5527790
AF,1929,2739497,5609214
AF,1930,2781474,5695162
AF,1931,2821240,5776586
AF,1932,2863217,5862534
AF,1933,2898565,5934911
AF,1934,2942750,6025382
AF,1935,2986936,6115853
AF,1936,3031121,6206324
AF,1937,3075307,6296795
AF,1938,3121701,6391790
AF,1939,3178045,6507156
AF,1940,3234389,6622521
AF,1941,3290732,6737887
AF,1942,3347076,6853252
AF,1943,3403420,6968618
AF,1944,3459763,7083983
AF,1945,3516107,7199349
AF,1946,3572450,7314714
AF,1947,3628794,7430080
AF,1948,3685138,7545445
AF,1949,3741481,7660811
AF,1950,3797825,7776176
AF,1951,3844346,7879339
AF,1952,3891547,7987783
AF,1953,3937619,8096698
AF,1954,3983859,8207950
AF,1955,4032827,8326979
AF,1956,4085123,8454301
AF,1957,4140789,8588335
AF,1958,4196305,8723401
AF,1959,4254941,8869270
AF,1960,4320813,9035043
AF,1961,4391509,9214083
AF,1962,4466798,9404406
AF,1963,4546531,9604487
AF,1964,4631350,9814318
AF,1965,4722682,10036008
AF,1966,4818707,10266395
AF,1967,4918203,10505959
AF,1968,5018918,10756922
AF,1969,5118589,11017409
AF,1970,5217487,11290128
AF,1971,5314187,11567667
AF,1972,5414351,11853696
AF,1973,5522394,12157999
AF,1974,5632562,12469127
AF,1975,5739286,12773954
AF,1976,5837511,13059851
AF,1977,5932951,13340756
AF,1978,6022319,13611441
AF,1979,6009299,13655567
AF,1980,5762216,13169311
AF,1981,5192546,11937581
AF,1982,4751458,10991378
AF,1983,4692701,10917982
AF,1984,4780682,11190221
AF,1985,4850060,11426852
AF,1986,4819454,11420074
AF,1987,4783361,11387818
AF,1988,4820868,11523298
AF,1989,4950925,11874088
AF,1990,5005408,12045660
AF,1991,5066829,12238879
AF,1992,5475449,13278974
AF,1993,6138692,14943172
AF,1994,6650184,16250794
AF,1995,6954079,17065836
AF,1996,7207663,17763266
AF,1997,7455887,18452091
AF,1998,7709478,19159996
AF,1999,7970055,19887785
AF,2000,8037885,20130327
AF,2001,8070873,20284307
AF,2002,8479599,21378117
AF,2003,8995286,22733049
AF,2004,9308036,23560654
AF,2005,9638723,24404567
AF,2006,10054468,25424094
AF,2007,10273981,25909852
AF,2008,10540448,26482622
AF,2009,10982600,27466101
AF,2010,11373131,28284089
AF,2011,11877732,29347708
AF,2012,12461344,30560034
AF,2013,13005634,31622704
AF,2014,13613769,32792523
AF,2015,14185715,33831764
AF,2016,14703245,34700612
AF,2017,15280386,35688935
AF,2018,15892597,36743039
AF,2019,16542820,37856121
AF,2020,17243941,39068979
AF,2021,17821297,40000412
AF,2022,18262723,40578842
AF,2023,18855236,41454761
AF,2024,19585111,42647492
AG,1800,19432,40159
AG,1801,19451,40198
AG,1802,19470,40237
AG,1803,19488,40276
AG,1804,19507,40315
AG,1805,19526,40354
AG,1806,19545,40393
AG,1807,19564,40432
AG,1808,19583,40472
AG,1809,19602,40511
AG,1810,19621,40550
AG,1811,19606,40520
AG,1812,19592,40490
AG,1813,19577,40460
AG,1814,19563,40430
AG,1815,19548,40400
AG,1816,19100,39473
AG,1817,18651,38546
AG,1818,18203,37619
AG,1819,17754,36692
AG,1820,17306,35765
AG,1821,16856,34836
AG,1822,16909,34946
AG,1823,16963,35056
AG,1824,17016,35166
AG,1825,17069,35276
AG,1826,17122,35386
AG,1827,17175,35496
AG,1828,17229,35606
AG,1829,17281,35714
AG,1830,17474,36113
AG,1831,17667,36512
AG,1832,17861,36912
AG,1833,17836,36861
AG,1834,17811,36810
AG,1835,17787,36759
AG,1836,17762,36708
AG,1837,17737,36657
AG,1838,17713,36606
AG,1839,17688,36555
AG,1840,17663,36504
AG,1841,17639,36453
AG,1842,17615,36405
AG,1843,17602,36377
AG,1844,17588,36349
AG,1845,17575,36321
AG,1846,17561,36293
AG,1847,17548,36265
AG,1848,17534,36237
AG,1849,17520,36209
AG,1850,17505,36178
AG,1851,17969,37136
AG,1852,17934,37064
AG,1853,17899,36992
AG,1854,17864,36920
AG,1855,17830,36848
AG,1856,17795,36776
AG,1857,17760,36704
AG,1858,17725,36632
AG,1859,17690,36560
AG,1860,17655,36488
AG,1861,17619,36412
AG,1862,17558,36287
AG,1863,17498,36162
AG,1864,17437,36037
AG,1865,17377,35912
AG,1866,17316,35787
AG,1867,17256,35662
AG,1868,17195,35537
AG,1869,17135,35412
AG,1870,17074,35287
AG,1871,17011,35157
AG,1872,17002,35138
AG,1873,16993,35119
AG,1874,16984,35100
AG,1875,16975,35081
AG,1876,16965,35062
AG,1877,16956,35043
AG,1878,16947,35024
AG,1879,16938,35005
AG,1880,16929,34986
AG,1881,16918,34964
AG,1882,17002,35137
AG,1883,17085,35310
AG,1884,17169,35483
AG,1885,17253,35656
AG,1886,17337,35829
AG,1887,17420,36002
AG,1888,17504,36175
AG,1889,17588,36348
AG,1890,17671,36521
AG,1891,17758,36699
AG,1892,17685,36549
AG,1893,17612,36399
AG,1894,17540,36249
AG,1895,17467,36099
AG,1896,17395,35949
AG,1897,17322,35799
AG,1898,17249,35649
AG,1899,17177,35499
AG,1900,17106,35353
AG,1901,16913,34953
AG,1902,16778,34674
AG,1903,16644,34398
AG,1904,16512,34124
AG,1905,16380,33852
AG,1906,16249,33582
AG,1907,16120,33314
AG,1908,15991,33049
AG,1909,15864,32786
AG,1910,15738,32524
AG,1911,15612,32265
AG,1912,15478,31987
AG,1913,15344,31712
AG,1914,15212,31439
AG,1915,15081,31168
AG,1916,14951,30900
AG,1917,14823,30634
AG,1918,14695,30370
AG,1919,14568,30108
AG,1920,14443,29849
AG,1921,14319,29592
AG,1922,14396,29752
AG,1923,14474,29914
AG,1924,14553,30076
AG,1925,14632,30239
AG,1926,14711,30402
AG,1927,14791,30567
AG,1928,14871,30733
AG,1929,14951,30899
AG,1930,15032,31067
AG,1931,15114,31235
AG,1932,15409,31845
AG,1933,15710,32468
AG,1934,16017,33102
AG,1935,16330,33749
AG,1936,16649,34409
AG,1937,16975,35081
AG,1938,17307,35767
AG,1939,17697,36573
AG,1940,18087,37380
AG,1941,18477,38186
AG,1942,18867,38993
AG,1943,19258,39799
AG,1944,19648,40605
AG,1945,20038,41412
AG,1946,20428,42218
AG,1947,20818,43025
AG,1948,21209,43831
AG,1949,21599,44638
AG,1950,21989,45444
AG,1951,22365,46420
AG,1952,22771,47397
AG,1953,23215,48383
AG,1954,23693,49371
AG,1955,24210,50374
AG,1956,24760,51382
AG,1957,25347,52404
AG,1958,25970,53457
AG,1959,26614,54526
AG,1960,27267,55603
AG,1961,27851,56540
AG,1962,28355,57336
AG,1963,28851,58138
AG,1964,29135,59020
AG,1965,29181,59970
AG,1966,29162,60900
AG,1967,29101,61837
AG,1968,29028,62809
AG,1969,28968,63819
AG,1970,29199,64528
AG,1971,29644,64729
AG,1972,29986,64615
AG,1973,30308,64342
AG,1974,30688,64058
AG,1975,31184,63839
AG,1976,31817,63762
AG,1977,32576,63862
AG,1978,33424,64038
AG,1979,34333,64274
AG,1980,35283,64513
AG,1981,36237,64665
AG,1982,37167,64785
AG,1983,38067,64934
AG,1984,38661,64882
AG,1985,38915,64591
AG,1986,39050,64276
AG,1987,39078,63946
AG,1988,39010,63623
AG,1989,38845,63325
AG,1990,38592,63066
AG,1991,38857,63387
AG,1992,39748,64404
AG,1993,40688,65587
AG,1994,41630,66843
AG,1995,42626,68189
AG,1996,43700,69612
AG,1997,44783,71053
AG,1998,45806,72412
AG,1999,46803,73666
AG,2000,47784,74912
AG,2001,48701,76069
AG,2002,49563,77032
AG,2003,50407,77884
AG,2004,51277,78719
AG,2005,52218,79611
AG,2006,53261,80604
AG,2007,54403,81704
AG,2008,55572,82912
AG,2009,56750,84173
AG,2010,57953,85320
AG,2011,59101,86332
AG,2012,60187,87260
AG,2013,61255,88064
AG,2014,62298,88765
AG,2015,63328,89409
AG,2016,64321,89969
AG,2017,65266,90468
AG,2018,66138,90926
AG,2019,66919,91364
AG,2020,67735,91846
AG,2021,68553,92349
AG,2022,69272,92840
AG,2023,69943,93316
AG,2024,70579,93772
AI,1800,1169,2343
AI,1801,1167,2338
AI,1802,1165,2334
AI,1803,1163,2330
AI,1804,1160,2326
AI,1805,1158,2321
AI,1806,1156,2317
AI,1807,1154,2313
AI,1808,1152,2308
AI,1809,1150,2304
AI,1810,1148,2300
AI,1811,1194,2392
AI,1812,1240,2484
AI,1813,1285,2576
AI,1814,1331,2668
AI,1815,1377,2760
AI,1816,1423,2852
AI,1817,1469,2944
AI,1818,1515,3036
AI,1819,1562,3131
AI,1820,1560,3126
AI,1821,1557,3121
AI,1822,1555,3116
AI,1823,1552,3111
AI,1824,1550,3106
AI,1825,1547,3101
AI,1826,1545,3096
AI,1827,1542,3091
AI,1828,1540,3086
AI,1829,1537,3080
AI,1830,1531,3069
AI,1831,1526,3058
AI,1832,1520,3047
AI,1833,1515,3036
AI,1834,1509,3025
AI,1835,1504,3014
AI,1836,1498,3003
AI,1837,1493,2992
AI,1838,1488,2981
AI,1839,1482,2970
AI,1840,1477,2959
AI,1841,1471,2948
AI,1842,1464,2934
AI,1843,1468,2941
AI,1844,1471,2948
AI,1845,1475,2955
AI,1846,1478,2962
AI,1847,1482,2969
AI,1848,1485,2976
AI,1849,1489,2983
AI,1850,1492,2990
AI,1851,1496,2997
AI,1852,1499,3004
AI,1853,1502,3011
AI,1854,1506,3018
AI,1855,1509,3025
AI,1856,1513,3032
AI,1857,1516,3039
AI,1858,1520,3046
AI,1859,1523,3053
AI,1860,1527,3060
AI,1861,1530,3067
AI,1862,1534,3074
AI,1863,1537,3081
AI,1864,1541,3088
AI,1865,1544,3095
AI,1866,1548,3102
AI,1867,1551,3109
AI,1868,1555,3116
AI,1869,1558,3123
AI,1870,1562,3130
AI,1871,1565,3137
AI,1872,1569,3144
AI,1873,1572,3151
AI,1874,1576,3158
AI,1875,1579,3165
AI,1876,1583,3172
AI,1877,1586,3179
AI,1878,1590,3186
AI,1879,1593,3193
AI,1880,1597,3200
AI,1881,1606,3219
AI,1882,1630,3267
AI,1883,1654,3315
AI,1884,1678,3363
AI,1885,1702,3411
AI,1886,1726,3459
AI,1887,1750,3507
AI,1888,1774,3555
AI,1889,1798,3603
AI,1890,1822,3651
AI,1891,1846,3699
AI,1892,1855,3718
AI,1893,1865,3737
AI,1894,1874,3756
AI,1895,1884,3775
AI,1896,1893,3794
AI,1897,1903,3813
AI,1898,1912,3832
AI,1899,1922,3851
AI,1900,1932,3872
AI,1901,1941,3890
AI,1902,1950,3908
AI,1903,1959,3926
AI,1904,1968,3945
AI,1905,1978,3963
AI,1906,1987,3981
AI,1907,1996,4000
AI,1908,2005,4019
AI,1909,2015,4037
AI,1910,2024,4056
AI,1911,2033,4075
AI,1912,2041,4089
AI,1913,2048,4103
AI,1914,2055,4118
AI,1915,2062,4132
AI,1916,2069,4146
AI,1917,2076,4161
AI,1918,2083,4175
AI,1919,2091,4190
AI,1920,2098,4204
AI,1921,2105,4219
AI,1922,2106,4220
AI,1923,2106,4221
AI,1924,2107,4222
AI,1925,2107,4223
AI,1926,2108,4224
AI,1927,2109,4226
AI,1928,2109,4227
AI,1929,2110,4228
AI,1930,2110,4229
AI,1931,2111,4230
AI,1932,2135,4280
AI,1933,2160,4330
AI,1934,2186,4380
AI,1935,2211,4432
AI,1936,2237,4484
AI,1937,2263,4536
AI,1938,2290,4589
AI,1939,2307,4624
AI,1940,2324,4658
AI,1941,2341,4692
AI,1942,2359,4727
AI,1943,2376,4761
AI,1944,2393,4796
AI,1945,2410,4830
AI,1946,2427,4864
AI,1947,2444,4899
AI,1948,2462,4933
AI,1949,2479,4968
AI,1950,2496,5002
AI,1951,2573,5210
AI,1952,2592,5369
AI,1953,2585,5503
AI,1954,2588,5644
AI,1955,2605,5741
AI,1956,2626,5781
AI,1957,2633,5796
AI,1958,2627,5795
AI,1959,2608,5777
AI,1960,2602,5782
AI,1961,2622,5822
AI,1962,2654,5875
AI,1963,2686,5923
AI,1964,2713,5970
AI,1965,2737,6018
AI,1966,2766,6072
AI,1967,2800,6130
AI,1968,2822,6183
AI,1969,2846,6238
AI,1970,2879,6298
AI,1971,2901,6355
AI,1972,2905,6403
AI,1973,2914,6447
AI,1974,2940,6479
AI,1975,2986,6499
AI,1976,3049,6521
AI,1977,3124,6543
AI,1978,3203,6561
AI,1979,3280,6577
AI,1980,3353,6588
AI,1981,3424,6604
AI,1982,3492,6628
AI,1983,3547,6647
AI,1984,3645,6742
AI,1985,3825,6955
AI,1986,4048,7219
AI,1987,4279,7495
AI,1988,4515,7782
AI,1989,4761,8090
AI,1990,5006,8399
AI,1991,5247,8703
AI,1992,5472,8982
AI,1993,5680,9228
AI,1994,5872,9467
AI,1995,6061,9714
AI,1996,6261,9977
AI,1997,6464,10254
AI,1998,6652,10537
AI,1999,6845,10841
AI,2000,7061,11177
AI,2001,7273,11472
AI,2002,7483,11687
AI,2003,7702,11874
AI,2004,7931,12068
AI,2005,8163,12267
AI,2006,8397,12470
AI,2007,8632,12676
AI,2008,8854,12890
AI,2009,9063,13114
AI,2010,9259,13345
AI,2011,9474,13569
AI,2012,9267,13379
AI,2013,9146,13252
AI,2014,9709,13729
AI,2015,10280,14210
AI,2016,10441,14320
AI,2017,10607,14425
AI,2018,10984,14721
